hRBC_no_NPs,
X,Y
1.06900811058736,0.1431759175099916
1.1902783958858736,0.17551540550870814
1.1558056244304584,0.15900889930692963
1.4125046547323876,0.19646835181859068
1.3367876745713874,0.18160217967061398
1.6147243944306702,0.20695514153990813
1.737533642740586,0.2213613843154642
1.8926611142899539,0.23405370216840887
2.0636990957418204,0.24738729564751671
2.2589343110037374,0.2616661037252228
2.468513092011091,0.27617226790108756
2.7200076292199133,0.29127250552255884
3.004407993727087,0.30566304376618236
3.2888083582342604,0.31900665149470286
3.573208722741434,0.3302141940578423
3.8576090872486075,0.34028128710158606
4.142009451755781,0.3499263387935798
4.4264098162629555,0.3578775978605502
4.710810180770129,0.3656431587327505
4.995210545277303,0.3724445895836197
5.279610909784475,0.3792253873017367
5.56401127429165,0.38543408452081473
5.848411638798822,0.39119260429802616
6.140568376883465,0.3971255678339608
6.4146269099540145,0.40289252843820716
6.688685443024564,0.40718422005066957
7.005404030771189,0.4113263214506784
7.270413461334691,0.4159523636006939
7.554813825841865,0.4216170964108497
7.89867972110963,0.42533106030624984
8.143005488799883,0.4282196988915611
8.422788964272849,0.433431038706694
8.729350396144218,0.43654664175227975
9.028524805560854,0.4396416116651132
9.32031219252276,0.44569890992308725
9.597325534575203,0.4481963228743953
9.90327138124201,0.45205096722037885
10.160955347871237,0.45407714085664713
10.435013880941787,0.45349528651303445
10.727539970149165,0.4583853389753113
10.976236392791803,0.45890804500503435
11.226163985843561,0.46025470080266273
11.549346218238076,0.4650085745887749
11.872528450632592,0.4670840993099119
12.208637972322887,0.46982788488161564
12.557674783308965,0.47245197722913945
12.906711594295041,0.47462950963209727
13.255748405281116,0.4748505789115854
13.604785216267194,0.4783876873833951
13.979676605844832,0.4801120277634023
14.36749528471825,0.4815047642241773
14.781168542183229,0.48382599165880247
15.18191451035243,0.48509836817852287
15.595587767817408,0.4874367898904415
16.00926102528239,0.4900228091953868
16.43586157204315,0.49156341644088614
16.90124398669125,0.4926157062112495
17.327844533452016,0.495727557778153
17.586390319367624,0.49734069361150857
17.896645262466357,0.49741572318515304
18.181045626973535,0.49932897731308645
18.452518702184925,0.5011578231706699
